"Gene","logFC","adj.P.Val","P","SignedZ"
"ileS",0.0620777613273167,0.658590711270467,0.658590711270467,0.441859732151547
"arnE",0.775922771702006,0.659713356661189,0.659713356661189,0.44030895376704
"frdC",-0.197312674607711,0.659989481996379,0.659989481996379,-0.439927687383115
"fadM",-0.190062669111845,0.659989481996379,0.659989481996379,-0.439927687383115
"ulaE",-0.18182301005947,0.660169223048053,0.660169223048053,-0.439679540168504
"sstT",0.0717222528901275,0.660169223048053,0.660169223048053,0.439679540168504
"glpG",0.130972028698351,0.660576376637161,0.660576376637161,0.439117531438847
"hcp",-0.17751040362234,0.660627526430315,0.660627526430315,-0.439046937350567
"nudC",-0.116158968831705,0.661505177523834,0.661505177523834,-0.437835992759271
"yfjM",0.435999051337535,0.662223565707182,0.662223565707182,0.436845269869949
"ppiD",0.0611785024843833,0.662223565707182,0.662223565707182,0.436845269869949
"ppiA",-0.117086027930918,0.662312958975651,0.662312958975651,-0.436722018403426
"rsuA",-0.0763706312150292,0.662651624654958,0.662651624654958,-0.436255141363958
"ymcE",-0.462049860411742,0.66469799560017,0.66469799560017,-0.433436077330337
"spy",-0.188928089881512,0.66469799560017,0.66469799560017,-0.433436077330337
"cbpM",-0.331497422610355,0.664722962835806,0.664722962835806,-0.433401703974975
"yadV",0.361913408152425,0.664951652458485,0.664951652458485,0.433086881978218
"gluQ",-0.143325694743354,0.664951652458485,0.664951652458485,-0.433086881978218
"ybhQ",0.229312310548975,0.666261371807754,0.666261371807754,0.431284702742152
"exbD",-0.290304607216886,0.667483937262455,0.667483937262455,-0.429603710837268
"garD",-0.120801132461051,0.667917024706194,0.667917024706194,-0.429008519522581
"yfbR",0.172269970991529,0.668801849488863,0.668801849488863,0.427792978377544
"atpG",0.0857901564893713,0.668801849488863,0.668801849488863,0.427792978377544
"ybhA",-0.158832987072226,0.669114895474889,0.669114895474889,-0.427363078239743
"rplJ",-0.0847858373699519,0.669114895474889,0.669114895474889,-0.427363078239743
"yrhC",-0.390765269789306,0.670181369482583,0.670181369482583,-0.42589910175042
"higA",-0.282296212020022,0.670181369482583,0.670181369482583,-0.42589910175042
"bacA",0.133979690578239,0.670181369482583,0.670181369482583,0.42589910175042
"yibJ",0.179257964487983,0.670259467567827,0.670259467567827,0.425791930385504
"kdsA",-0.0736315230626829,0.670259467567827,0.670259467567827,-0.425791930385504
"phoR",0.131831764048504,0.67030933415726,0.67030933415726,0.425723502707123
"yfeC",-0.187235198260356,0.67067247181542,0.67067247181542,-0.425225259875619
"insE1",0.308252551179362,0.671606010524325,0.671606010524325,0.423944882576346
"ghrA",0.0783742306601325,0.671606010524325,0.671606010524325,0.423944882576346
