"Gene","logFC","adj.P.Val","P","SignedZ"
"aaeR",0.257155885855104,0.235821498121586,0.235821498121586,1.18549573967187
"tolB",-0.295204794607231,0.236094466806776,0.236094466806776,-1.18480522359259
"pabC",0.273582682541197,0.236131902571606,0.236131902571606,1.18471056813708
"ftsZ",0.187773092552675,0.23616208762615,0.23616208762615,1.18463425366205
"gcl",0.534938162192287,0.236584590067343,0.236584590067343,1.1835667975988
"gatD",0.302795928997214,0.236880699414132,0.236880699414132,1.18281947784448
"pptA",-0.275043629087684,0.236952282370653,0.236952282370653,-1.18263891614639
"ymgG",-0.511990550958738,0.237036862479988,0.237036862479988,-1.18242561995726
"hybF",0.521975379668873,0.237205817503387,0.237205817503387,1.18199970602637
"dcyD",0.541640047477011,0.237589322038087,0.237589322038087,1.1810337351713
"maa",0.454169483938745,0.237589322038087,0.237589322038087,1.1810337351713
"yehI",-0.446460200403823,0.237589322038087,0.237589322038087,-1.1810337351713
"yihQ",0.770056832372014,0.23843663131979,0.23843663131979,1.17890343114329
"yzcX",0.555291849723056,0.23843663131979,0.23843663131979,1.17890343114329
"tdcE",0.404412899553079,0.239664495227512,0.239664495227512,1.17582579776742
"mug",0.1464281777267,0.239879805195449,0.239879805195449,1.17528727130726
"yhbP",0.532362145984419,0.240209520787733,0.240209520787733,1.17446325713721
"intA",0.223069931015329,0.240635522135082,0.240635522135082,1.17339978817056
"edd",0.53952876352744,0.242592633883405,0.242592633883405,1.16853102096731
"cycA",-0.250459892384348,0.242868238287522,0.242868238287522,-1.16784761367844
"malK",1.03341452145073,0.242959756434238,0.242959756434238,1.16762079969666
"ydjJ",0.561503298349765,0.243387953057143,0.243387953057143,1.16656037576248
"ugpQ",-0.290751784379265,0.243387953057143,0.243387953057143,-1.16656037576248
"alpA",0.763781778535658,0.243622085731194,0.243622085731194,1.16598110326338
"yegS",-0.515114854193514,0.243743737642691,0.243743737642691,-1.16568027614806
"priB",-0.461738613511456,0.243801162479487,0.243801162479487,-1.16553830969683
"rsxG",-0.621160974857959,0.243967623228007,0.243967623228007,-1.1651269158846
"sdhB",-1.00467574252701,0.244338276682615,0.244338276682615,-1.16421158455108
"ycfH",-0.344976241619613,0.244338276682615,0.244338276682615,-1.16421158455108
"torR",-0.31247505170329,0.244338276682615,0.244338276682615,-1.16421158455108
"fadH",-0.601023008998277,0.244690977453813,0.244690977453813,-1.16334149226591
